,PI_low,PI_hi,date,actual
0,85.76233653118702,117.89152034159758,2022-10-26,101.13
1,87.59956992056324,120.6559935915775,2022-10-27,105.96
2,91.76567952994114,126.92470816382243,2022-10-28,107.69
3,93.25790367291769,129.17005418762014,2022-10-31,80.03
4,69.37066015960563,93.40367293695668,2022-11-01,115.58
5,100.06341224994313,139.4102620683384,2022-11-02,129.0
6,111.63783766601185,156.82625465041215,2022-11-03,124.76001
7,107.98106417496474,151.32392329389526,2022-11-04,115.07001
8,99.62352136111934,138.7483580247556,2022-11-07,111.39
9,96.4493313674981,133.97217522442673,2022-11-08,116.79
10,101.10707887557462,140.98066280088366,2022-11-09,112.91
11,97.76041446680573,135.94494967797021,2022-11-10,109.91
12,95.17276004306959,132.05132409714432,2022-11-11,98.23
13,85.09817428158104,116.89216399658696,2022-11-14,114.80999
14,99.3992475343737,138.410895859474,2022-11-15,122.5
15,106.03193029646081,148.3910641961566,2022-11-16,109.69
16,94.98299860769393,131.76579265601407,2022-11-17,115.57
17,100.05478939227297,139.3972837027366,2022-11-18,110.55999
18,95.73341162767265,132.8949338900246,2022-11-21,114.31999
19,98.97659866194512,137.77493498429587,2022-11-22,122.020004
20,105.61795545044386,147.76816059741049,2022-11-23,130.01
21,112.50890781130525,158.13695120995004,2022-11-24,121.91
22,105.52308983678213,147.62541460455287,2022-11-25,125.100006
23,108.27429928589167,151.765151967887,2022-11-28,123.37
24,106.78226502210023,149.52009076286697,2022-11-29,130.19
25,112.66415253987493,158.37054946096544,2022-11-30,139.03
26,120.28835049971399,169.84265034044745,2022-12-01,136.85
27,118.40806200510954,167.01339499783165,2022-12-02,136.95
28,118.4942856498844,167.1431367324713,2022-12-05,135.53
29,117.26962408891802,165.30039129830857,2022-12-06,139.08
30,120.33148883120846,169.9075581972189,2022-12-07,148.3
31,128.28199047174843,181.87841621186016,2022-12-08,134.71
32,116.56242029688273,164.2362651904793,2022-12-09,142.52
33,123.2981303951379,174.37335141192784,2022-12-12,135.71
34,117.42486758450598,165.53398585037883,2022-12-13,137.32
35,118.81340967802029,167.62332392992118,2022-12-14,131.18
36,113.5179701884285,159.6552905222814,2022-12-15,134.87
37,116.70039834942277,164.44387958469324,2022-12-16,118.12
38,102.25425924866332,142.7068100855593,2022-12-19,107.01
39,92.67136193812397,128.28748710426345,2022-12-20,106.28001
40,92.0417034490159,127.34004545464177,2022-12-21,97.81
41,84.73590144160609,116.34704983114894,2022-12-22,92.06
42,79.77661407421664,108.88465113071166,2022-12-23,83.52
43,72.39742869368091,97.86281051633229,2022-12-28,82.61
44,71.60821682137698,96.70011430125867,2022-12-29,82.58
45,71.5821947421421,96.6617802830425,2022-12-30,75.32
46,65.2800657487503,87.38024589893904,2023-01-03,71.14
47,61.63972605457987,82.0353638423101,2023-01-04,64.49
48,55.84851324559512,73.53173858706843,2023-01-05,70.54
49,61.11718716797392,81.26815144637426,2023-01-06,69.15
50,59.90665002911957,79.49079288238183,2023-01-09,74.97
51,64.97525232296645,86.93270929045948,2023-01-10,69.08
52,59.84568401491215,79.40128334131882,2023-01-11,65.87
53,57.05022377654981,75.29653430029926,2023-01-12,67.63
54,58.58288139736901,77.5471889268994,2023-01-13,63.35
55,54.8565554074051,72.08875171967235,2023-01-16,54.990005
56,47.58661282389611,62.13515783803591,2023-01-17,59.189995
57,51.241853102172385,67.05406998596905,2023-01-18,62.48
58,54.10085659478575,71.0145213266344,2023-01-19,60.9
59,52.728321686472405,69.08031269187074,2023-01-20,67.91
